1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0				
3	2	3	3	3	0	3	3	3	3	0	0	0	0	0	0	0	0	0	0	3	0	0				
5	0	4	4	4	0	5	4	4	4	0	0	0	0	0	0	0	0	0	0	4	0	0				
0	0	6	6	6	0	0	6	6	6	0	0	0	0	0	0	0	0	0	0	7	0	0				
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0				
0	0	9	10	11	0	0	13	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0	17	0	16	0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0				
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	20	20	0				
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	22	22	0				
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	24	24	0				
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	26	25	0				
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0				
